"","Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"8040","Colorado","US","3/22/20 23:45",51,0,0,39.58635604,-105.2517692,0,"Jefferson",8059,"Jefferson, Colorado, US","03-22-2020"
"8041","Colorado","US","3/22/20 23:45",45,0,0,39.64977461,-104.3353617,0,"Arapahoe",8005,"Arapahoe, Colorado, US","03-22-2020"
"8042","Colorado","US","3/22/20 23:45",37,1,0,40.55499405,-104.3929621,0,"Weld",8123,"Weld, Colorado, US","03-22-2020"
"8043","Colorado","US","3/22/20 23:45",37,0,0,40.09313619,-105.3546767,0,"Boulder",8013,"Boulder, Colorado, US","03-22-2020"
"8044","Colorado","US","3/22/20 23:45",33,0,0,39.33133796,-104.930001,0,"Douglas",8035,"Douglas, Colorado, US","03-22-2020"
"8045","Colorado","US","3/22/20 23:45",32,0,0,40.66671597,-105.4625784,0,"Larimer",8069,"Larimer, Colorado, US","03-22-2020"
"8046","Colorado","US","3/22/20 23:45",22,0,0,38.66611652,-107.0320729,0,"Gunnison",8051,"Gunnison, Colorado, US","03-22-2020"
"8047","Colorado","US","3/22/20 23:45",18,0,0,39.87432092,-104.3362578,0,"Adams",8001,"Adams, Colorado, US","03-22-2020"
"8048","Colorado","US","3/22/20 23:45",16,0,0,39.21720112,-106.9310027,0,"Pitkin",8097,"Pitkin, Colorado, US","03-22-2020"
"8049","Colorado","US","3/22/20 23:45",8,0,0,39.59921777,-107.902708,0,"Garfield",8045,"Garfield, Colorado, US","03-22-2020"
"8050","Colorado","US","3/22/20 23:45",7,0,0,39.63803232,-106.1150762,0,"Summit",8117,"Summit, Colorado, US","03-22-2020"
"8051","Colorado","US","3/22/20 23:45",3,0,0,38.17359144,-104.5127437,0,"Pueblo",8101,"Pueblo, Colorado, US","03-22-2020"
"8052","Colorado","US","3/22/20 23:45",3,0,0,40.48596505,-106.9905548,0,"Routt",8107,"Routt, Colorado, US","03-22-2020"
